Site,Site name,Lat,Lon,Rank
35189,Consuelo,-24.6553,148.4594,1
33329,Ooralea Racecourse (Mackay Turf Club),-21.17,149.1515,1
34007,Mount Mcconnell,-20.7019,147.0175,1
34010,Trafalgar Station,-20.4328,146.0131,1
34015,Wentworth,-22.0656,147.7219,1
34016,Carfax,-22.4572,148.6819,1
34022,Mt Douglas,-21.5186,146.8731,1
34024,Dooruna Downs,-22.0236,147.4158,1
34027,Essex,-22.7744,148.81,1
34035,Moranbah Airport,-22.0644,148.0758,1
33327,Bowen Airport Aws,-20.0153,148.2138,1
34043,Blackjack Mine,-20.1472,146.2283,1
34049,Doongara,-20.5583,146.4811,1
34061,Junee Station,-22.9372,149.1386,1
34073,Saltbush Park,-22.1367,148.9136,1
34078,Greenmantle,-22.5242,147.69,1
34083,Waitara,-21.8447,148.8736,1
34084,Charters Towers Airport,-20.0464,146.2708,1
34087,Scartwater,-21.0925,146.8678,1
34097,Burdekin Dam Alert,-20.6467,147.1372,1
34100,Iffley,-22.241,148.4299,1
34044,Bruslee,-21.0767,146.5133,1
35000,Alpha Post Office,-23.65,146.6406,1
33323,Cannonvale Wwtp,-20.2825,148.6829,1
33320,Mt Jukes,-21.0083,148.9143,1
33288,Inkerman Bridge Alert,-19.6433,147.3972,1
33289,Strathbogie Alert,-20.1425,147.5631,1
33290,Mt Pleasant Alert,-20.2897,147.9019,1
33291,Dalbeg Alert,-20.3089,147.2961,1
33292,Myuna Alert,-20.5819,147.5981,1
33294,Yeppoon The Esplanade,-23.1364,150.7506,1
33295,Alva Beach,-19.4569,147.4833,1
33299,Sarich'S Alert,-21.2725,148.8203,1
33300,Dumbleton Rocks Alert,-21.1439,149.0753,1
33322,Shute Harbour,-20.2926,148.7855,1
33301,Whiteford'S Alert,-21.3228,148.835,1
33303,Mackay Alert,-21.1397,149.1883,1
33304,Gargett Alert,-21.1781,148.7442,1
33306,Emu Creek Alert,-20.4103,148.2306,1
33307,Woolshed,-19.4168,146.5362,1
33308,Samuel Hill Aero,-22.7433,150.6578,1
33310,South Yaamba Tm,-23.2,150.3978,1
33312,Hedlow Airfield Tm,-23.2233,150.605,1
33313,The Glen Tm,-22.8264,150.3372,1
33319,Giru North,-19.5144,147.1011,1
33302,Mirani Weir Tw Alert,-21.1772,148.8311,1
35190,Minnie Downs,-25.0311,145.8664,1
35001,Anakie Richardson St,-23.5522,147.7461,1
35003,Ardurad,-23.8825,148.9642,1
35096,The Glebe,-25.4875,150.0064,1
35109,Booroondarra,-22.8181,148.49,1
35110,Cloyne,-23.9103,147.1575,1
35117,La Palma,-25.3864,149.7842,1
35129,Rolleston Airport,-24.4617,148.6264,1
35131,Talagai,-23.1331,148.5267,1
35134,Blackwater Airport,-23.6015,148.8074,1
35135,Hornet Bank Homestead,-25.7064,149.4078,1
35139,Lochington,-23.9424,147.525,1
35094,Winvic,-22.4831,147.5172,1
35142,Caldervale Station,-25.1011,146.8311,1
35164,Monklands,-23.4078,146.4636,1
35165,Durrandella,-24.0712,146.6129,1
35170,Wilpeena,-23.1014,148.9231,1
35172,Melmoth,-23.4542,149.2608,1
35174,Yantumara,-24.4686,149.2664,1
35182,Kinnoul,-25.6753,149.6331,1
35185,Capella (Rowe'S Hill) Alert,-23.1206,148.0406,1
35186,Blackdown Tableland Al,-23.7744,149.1172,1
35187,Valeria Alert,-23.1856,147.8947,1
35146,Emerald Radar Al,-23.55,148.2397,1
35002,Arcturus Downs,-24.0344,148.4064,1
35093,Mt Moffatt National Park,-25.0208,147.9511,1
35083,Woorabinda,-24.13,149.4567,1
35007,Bauhinia Downs Store,-24.5711,149.2922,1
35014,Wandoan Post Office,-26.1206,149.9614,1
35015,The Sandstone,-25.4025,149.1044,1
35016,Capella Post Office,-23.0856,148.0236,1
35018,Carnarvon Station,-24.8089,147.7525,1
35021,Comet Post Office,-23.6046,148.5447,1
35026,Duaringa Post Office,-23.7139,149.6725,1
35039,Giligulgul Tm,-26.3564,150.0464,1
35040,Westgrove Tm,-25.5811,148.4811,1
35090,Rewan Station,-24.9586,148.3744,1
35042,Mantuan Downs,-24.4125,147.2464,1
35063,Somerby,-24.2111,148.7403,1
35064,Spring Creek Station,-24.4481,147.8986,1
35065,Springsure Comet St,-24.123,148.0856,1
35068,Waddy Brae Tm,-25.6103,148.9444,1
35069,Tambo Post Office,-24.8819,146.2564,1
35070,Taroom Post Office,-25.6408,149.7958,1
35073,Toliness Station,-25.3167,146.0194,1
