Date,Mean,Qual,Cutoff,Site
2022-12-01 14:00:00,0.658,2,2022-12-01,405325
2022-12-01 15:00:00,0.657,2,2022-12-01,405325
2022-12-01 16:00:00,0.656,2,2022-12-01,405325
2022-12-01 17:00:00,0.653,2,2022-12-01,405325
2022-12-01 18:00:00,0.652,2,2022-12-01,405325
2022-12-01 19:00:00,0.651,2,2022-12-01,405325
2022-12-01 20:00:00,0.652,2,2022-12-01,405325
2022-12-01 21:00:00,0.651,2,2022-12-01,405325
2022-12-01 22:00:00,0.65,2,2022-12-01,405325
2022-12-01 23:00:00,0.65,2,2022-12-01,405325
2022-01-13 00:00:00,0.65,2,2022-01-13,405325
2022-01-13 01:00:00,0.65,2,2022-01-13,405325
2022-01-13 02:00:00,0.652,2,2022-01-13,405325
2022-01-13 03:00:00,0.651,2,2022-01-13,405325
2022-01-13 04:00:00,0.649,2,2022-01-13,405325
2022-01-13 05:00:00,0.648,2,2022-01-13,405325
2022-01-13 06:00:00,0.645,2,2022-01-13,405325
2022-01-13 07:00:00,0.643,2,2022-01-13,405325
2022-01-13 08:00:00,0.641,2,2022-01-13,405325
2022-01-13 09:00:00,0.641,2,2022-01-13,405325
2022-01-13 10:00:00,0.638,2,2022-01-13,405325
2022-01-13 11:00:00,0.638,2,2022-01-13,405325
2022-01-13 12:00:00,0.637,2,2022-01-13,405325
2022-01-13 13:00:00,0.635,2,2022-01-13,405325
2022-01-13 14:00:00,0.633,2,2022-01-13,405325
2022-01-13 15:00:00,0.63,2,2022-01-13,405325
2022-01-13 16:00:00,0.625,2,2022-01-13,405325
2022-01-13 17:00:00,0.622,2,2022-01-13,405325
2022-01-13 18:00:00,0.62,2,2022-01-13,405325
2022-01-13 19:00:00,0.618,2,2022-01-13,405325
2022-01-13 20:00:00,0.617,2,2022-01-13,405325
2022-01-13 21:00:00,0.616,2,2022-01-13,405325
2022-01-13 22:00:00,0.615,2,2022-01-13,405325
2022-01-13 23:00:00,0.616,2,2022-01-13,405325
2022-01-14 00:00:00,0.616,2,2022-01-14,405325
2022-01-14 01:00:00,0.617,2,2022-01-14,405325
2022-01-14 02:00:00,0.617,2,2022-01-14,405325
2022-01-14 03:00:00,0.617,2,2022-01-14,405325
2022-01-14 04:00:00,0.616,2,2022-01-14,405325
2022-01-14 05:00:00,0.615,2,2022-01-14,405325
2022-01-14 06:00:00,0.613,2,2022-01-14,405325
2022-01-14 07:00:00,0.612,2,2022-01-14,405325
2022-01-14 08:00:00,0.612,2,2022-01-14,405325
2022-01-14 09:00:00,0.612,2,2022-01-14,405325
2022-01-14 10:00:00,0.613,2,2022-01-14,405325
2022-01-14 11:00:00,0.617,2,2022-01-14,405325
2022-01-14 12:00:00,0.62,2,2022-01-14,405325
2022-01-14 13:00:00,0.62,2,2022-01-14,405325
2022-01-14 14:00:00,0.615,2,2022-01-14,405325
2022-01-14 15:00:00,0.614,2,2022-01-14,405325
2022-01-14 16:00:00,0.613,2,2022-01-14,405325
2022-01-14 17:00:00,0.612,2,2022-01-14,405325
2022-01-14 18:00:00,0.611,2,2022-01-14,405325
2022-01-14 19:00:00,0.611,2,2022-01-14,405325
2022-01-14 20:00:00,0.615,2,2022-01-14,405325
2022-01-14 21:00:00,0.615,2,2022-01-14,405325
