Site,Site name,Lat,Lon
023081,Bolivar Treatment Works,-34.7711,138.5838
023083,Edinburgh Raaf,-34.7111,138.6222
023085,Rosslyn Park,-34.9222,138.6805
023087,Reeves Plains,-34.5371,138.6049
023093,Adelaide,-34.9726,138.5790
023094,Paradise Sa075,-34.8688,138.6917
023095,Hamley Bridge,-34.3566,138.6819
023096,Adelaide,-34.8564,138.6844
023098,Adelaide,-34.9742,138.5425
023101,Felixstow,-34.8923,138.6421
023105,Brownhill Creek,-34.9828,138.6182
023107,Gawler,-34.6010,138.7359
023108,Longwood Alert,-35.0495,138.7259
023109,Adelaide Airport,-34.9573,138.5152
023111,Gawler River,-34.6307,138.6467
023114,Beaumont,-34.9542,138.6586
023115,Adelaide,-34.9473,138.5827
023119,Roberts Street,-34.9422,138.6032
023121,Adelaide,-35.0002,138.5171
023122,Roseworthy Aws,-34.5106,138.6763
023123,Adelaide Airport,-34.9382,138.5435
023124,Adelaide Airport,-34.9435,138.5232
023128,Balaklava,-34.2015,138.5970
023129,Mallala,-34.4611,138.5581
023131,Hindmarsh Island,-35.5355,138.9010
023132,Adelaide,-34.9089,138.6721
023133,Greenacres,-34.8697,138.6356
023134,Kilburn,-34.8507,138.5865
023135,Hamley Bridge,-34.3710,138.6687
023136,Craigburn Farm,-35.0409,138.5890
023137,Regency Park,-34.8685,138.5696
023140,Mitchell Park,-35.0121,138.5589
023141,Concordia,-34.5620,138.7703
023143,Morphettville,-34.9784,138.5418
023145,Stonyfell,-34.9390,138.6741
023146,Steingarten Vineyard,-34.5978,138.9614
023147,Mintaro,-33.9306,138.6773
023300,Angaston,-34.5018,139.0466
023305,Greenock,-34.4577,138.9277
023306,Riverton,-34.1697,138.8095
023307,Kapunda,-34.3412,138.9155
023309,Lyndoch,-34.5964,138.8733
023310,Manoora,-34.0019,138.8185
023311,Marrabel,-34.1444,138.8770
023314,Riverton,-34.1579,138.7452
023315,Saddleworth,-34.0841,138.7818
023318,Tanunda,-34.5071,138.9637
023319,Tarlee,-34.2785,138.7729
023320,Nuriootpa Town Bridge,-34.4769,138.9933
023323,Tarnma,-34.1988,138.9376
023325,Freeling,-34.4550,138.8101
023347,Stockport,-34.4645,139.0389
023348,Shea-Oak Log,-34.5103,138.8350
023349,Saddleworth,-34.0904,138.7947
023354,Kapunda,-34.3121,139.0077
023355,Riverton,-34.2070,138.7886
023356,Hamley Bridge,-34.3854,138.7630
023357,Nuriootpa,-34.4709,138.9991
023360,St Kitts,-34.3303,139.0923
023365,Tarlee West,-34.2318,138.6952
023369,Greenock Alert,-34.4556,138.9221
023370,Stockport,-34.3143,138.7293
023372,Barossa Valley,-34.4491,139.0621
023373,Nuriootpa Pirsa,-34.4761,139.0056
023374,Hansborough,-34.2523,139.0183
023379,Mount Rufus,-34.3090,139.1215
023380,Kapunda West,-34.3020,138.8451
023381,Ngapala,-34.0628,139.0063
023382,Angaston,-34.4968,139.0840
023704,Belair,-35.0076,138.6498
023705,Birdwood,-34.8041,138.9451
023707,Bridgewater,-35.0096,138.7568
023709,Cherry Gardens,-35.0611,138.6585
023710,Clarendon,-35.1112,138.6205
023713,Echunga Golf Course,-35.0960,138.7887
023714,Finniss,-35.3736,138.8060
023718,Goolwa Council Depot,-35.4984,138.7657
023719,Gumeracha,-34.8237,138.8859
023720,Hahndorf,-35.0245,138.8115
023721,Happy Valley Reservoir,-35.0592,138.5658
023722,Harrogate,-34.9303,139.0140
023723,Inman Valley,-35.4908,138.4746
023724,Kanmantoo,-35.0739,139.0036
023725,Keyneton,-34.5572,139.1337
023726,Lobethal,-34.9044,138.8742
023727,Longwood,-35.0484,138.7354
023728,Macclesfield,-35.1890,138.8262
023730,Meadows,-35.1797,138.7647
023731,Cudlee Creek,-34.8331,138.8215
023732,Adelaide,-35.1351,138.5274
023733,Mount Barker,-35.0732,138.8466
023734,Mount Bold Reservoir,-35.1213,138.6769
023735,Mount Compass,-35.3501,138.6221
023737,Mount Pleasant,-34.7735,139.0501
023738,Myponga,-35.3912,138.4642
023739,Nairne,-35.0369,138.9130
023741,Normanville,-35.4519,138.3227
023742,Port Elliot Caravan Park,-35.5299,138.6896
023743,Victor Harbor,-35.5416,138.5038
023744,Second Valley,-35.5359,138.2340
023747,Strathalbyn,-35.2560,138.8901
023750,Uraidla,-34.9563,138.7443
023752,Williamstown,-34.6508,138.8780
023753,Willunga,-35.2705,138.5591
023754,Yankalilla,-35.4581,138.3501
023756,Williamstown,-34.6603,138.9262
023758,Kersbrook,-34.7398,138.8715
023761,Parawa,-35.5564,138.3416
023783,Myponga Reservoir,-35.4012,138.4262
023786,Birdwood,-34.8269,139.0086
023787,Balhannah,-35.0220,138.8552
023788,Piccadilly,-34.9838,138.7179
023799,Prospect Hill,-35.2183,138.7342
023801,Lenswood,-34.9482,138.8071
023803,Ashton Co-Op,-34.9423,138.7270
023804,Victor Harbor,-35.5544,138.5997
023806,Upper Hermitage,-34.8066,138.7554
023810,Mount Lofty,-34.9710,138.7042
023812,Rockleigh,-34.9392,139.0697
023817,Aldgate,-35.0236,138.7419
023820,Williamstown,-34.6805,138.8561
023822,Hartley,-35.1802,139.0239
023824,Hindmarsh Valley,-35.4428,138.5444
023825,Goolwa Barrage,-35.5288,138.8067
023829,Woodside,-34.9516,138.8754
023834,Victor Harbor,-35.4377,138.6398
023839,Blackwood,-35.0213,138.6097
023842,Mount Lofty,-34.9784,138.7088
023843,Heathfield Works Depot,-35.0266,138.7133
023846,Belair,-35.0028,138.6635
023851,Myponga Hill,-35.4193,138.4944
023852,Castambul,-34.8722,138.7547
023857,Willunga Hill,-35.2943,138.5729
023858,Gould Creek,-34.7630,138.7765
023861,Mclaren Flat,-35.1947,138.5898
023862,Lobethal,-34.9120,138.8845
023863,Kanmantoo,-35.0238,139.0013
023864,Red Creek,-35.1380,138.9714
023865,Lenswood,-34.8947,138.8099
023866,Verdun,-35.0065,138.8034
023867,Ashton,-34.9313,138.7500
023871,Sellicks Beach,-35.3175,138.4636
023873,Crafers West,-34.9913,138.6937
023874,Leawood Gardens,-34.9750,138.6724
023875,Parawa,-35.5695,138.2864
023876,Mclaren Vale,-35.2276,138.5366
023877,Kersbrook,-34.7863,138.8651
023878,Mount Crawford Aws,-34.7253,138.9278
023879,Cudlee Creek,-34.8476,138.8751
023880,Ironstone Road,-34.7595,138.9341
023881,Cromer Road,-34.7706,139.0055
023882,Lobethal,-34.8713,138.9058
023885,Noarlunga,-35.1586,138.5057
023886,Sellicks Hill,-35.3294,138.5019
023887,Kuitpo Forest Reserve,-35.1712,138.6783
023889,Victor Harbor,-35.6094,138.5611
023890,Belair,-35.0013,138.6214
023891,Piccadilly,-34.9847,138.7404
023892,Montacute,-34.8856,138.7562
023894,Hindmarsh Island Aws,-35.5194,138.8177
023896,Athelstone,-34.8757,138.7103
023897,Yundi,-35.3159,138.6218
023905,Uraidla,-34.9695,138.7410
023906,Mount Wilson,-35.2078,138.6496
023907,Charleston,-34.9161,138.8989
023908,Waterfall Gully,-34.9711,138.6825
023909,Adelaide,-34.8562,138.7308
023910,Kangarilla,-35.1319,138.6858
023911,Mylor,-35.0632,138.7635
023912,Paracombe,-34.8651,138.7748
023914,Clarendon Weir,-35.1113,138.6350
023916,Bellevue Heights,-35.0318,138.5878
023920,Woodside,-34.9629,138.8714
023921,Mt Bold,-35.0998,138.6746
023922,Forreston Alert,-34.7928,138.9040
024001,Barmera,-34.2591,140.4708
024003,Renmark Irrigation,-34.1656,140.7536
024008,Lyrup,-34.2579,140.6478
024010,Moorook,-34.2918,140.3632
024013,Loxton,-34.4442,140.4958
024017,Taldra,-34.3523,140.8411
024024,Loxton Research Centre,-34.4390,140.5978
024025,Berri,-34.2717,140.5964
024029,Waikerie,-34.2159,140.1860
024031,Duffield Ramco,-34.1700,139.8170
024032,Taplan,-34.5449,140.8821
024037,Paringa Lock,-34.1903,140.7619
024038,Waikerie Council Works Depot,-34.1897,140.0043
024048,Renmark Aero,-34.1983,140.6766
024501,Australia Plains,-34.0971,139.1564
024502,Black Hill,-34.6909,139.4367
024504,Bower,-34.1220,139.3563
024507,Murray Bridge,-35.1856,139.1290
024508,Callington,-35.1250,139.0433
024509,Duttonsection28,-34.3515,139.1289
024510,Tailem Bend,-35.1122,139.5172
024511,Eudunda,-34.1773,139.0903
024513,Cambrai,-34.6511,139.3631
024515,Langhorne Creek,-35.2959,139.0328
024517,Mannum Council Depot,-34.9145,139.3010
024518,Meningie,-35.6902,139.3375
024519,Milang,-35.4068,138.9701
024521,Murray Bridge,-35.1234,139.2592
024523,Mulgundawa Salt,-35.2921,139.2069
024525,Palmer,-34.8530,139.1607
024526,Point Pass,-34.0753,139.0515
024528,Robertstown,-33.9908,139.0804
024530,Sedan,-34.4584,139.3597
024531,Sedan,-34.5719,139.2961
024533,Murray Bridge,-34.9692,139.1874
024535,Swan Reach,-34.5681,139.5971
024536,Tailem Bend,-35.2546,139.4542
024537,Meningie,-35.6190,139.4378
024539,Narrung,-35.5949,139.1296
024547,Nildottie,-34.6762,139.6513
024550,Milang,-35.4941,138.9929
024551,Callington Hill,-35.1093,139.0806
024554,Tailem Bend,-35.1978,139.5871
024555,Eudunda,-34.2571,139.0923
024564,Blanchetown Lock,-34.3515,139.6153
024571,Nildottie,-34.7130,139.5808
024572,Wellington,-35.2828,139.2031
024573,Truro,-34.4085,139.1274
024575,Keyneton,-34.5444,139.1930
024576,Milang,-35.3480,138.9771
024577,Meningie,-35.7344,139.2675
024578,Morgan,-34.0647,139.6605
024579,Mt Torrens,-34.8788,138.9740
024580,Strathalbyn Racecourse,-35.2836,138.8934
024581,Sedan,-34.5073,139.4755
024582,Monarto Zoological Park,-35.1016,139.1426
024583,Woodside,-34.9467,138.9255
024584,Murray Bridge,-35.0650,139.2273
024585,Swan Reach,-34.5079,139.5306
024586,Mount Mary Rndsup,-34.1308,139.4233
024587,Murbko,-34.1639,139.6647
024589,Monarto South,-35.1339,139.1107
024591,Harrogate,-34.9315,139.0317
024592,Callington Hill,-35.0825,139.0658
