Station Name,Time/Day,Height,Tendency,Flood Class,Scraped,State
Cooper Ck at Nappa Merrie,2.00pm Thu,1.52,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Ginniapapa Ck at Bellalie,2.16pm Thu,0.03,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Barcoo R at Blackall,1.32pm Thu,0.59,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Cooper Ck at Windorah(Long Xing),12.00pm Thu,2.62,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Cooper Ck at Main Channel,1.49pm Thu,2.26,falling,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Cooper Ck at Eaton Channel,12.00pm Thu,-0.23,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Cooper Ck at Lignum Channel,12.00pm Thu,-0.41,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Barcoo R at Retreat Auto,2.00pm Thu,2.48,falling,minor,2022-10-13 16:07:30.866648+11:00,QLD
Powell Ck,12.00pm Thu,0.01,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Alice R at Barcaldine Weir,2.00pm Thu,4.51,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Jordan R at Glencoe,1.31pm Thu,0.69,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Barcoo R at Coolagh,9.00am Thu,-0.00,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Dandahra Ck at Gibraltar Range,3.00pm Thu,0.48,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Mann R at Jackadgery,3.00pm Thu,1.74,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Nymboida R d/s Nymboida Weir,3.00pm Thu,1.96,steady,,2022-10-13 16:07:30.866648+11:00,NSW
HMAS Creswell(Jervis Bay),3.16pm Thu,0.88,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Tomerong Ck at Hawken Rd (AHD),2.42pm Thu,0.30^,steady,,2022-10-13 16:07:30.866648+11:00,NSW
St Georges Basin at Island Pt Rd,3.15pm Thu,0.32,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Jervis Bay at HMAS Creswell,3.16pm Thu,0.88,falling,,2022-10-13 16:07:30.866648+11:00,NSW
